strainID,Accession,SRR_ID,Group
RSB025,SRX180520,SRR546536,St
RSB020,SRX180519,SRR546535,St
RS5344,SRX180492,SRR546488,St
RS5410,SRX180401,SRR546396,St
RS5200,SRX180369,SRR546244,St
RS5188,SRX179620,SRR546095,St
RS2333,SRX177663,SRR542430,Eu
RSA040,SRX180500,SRR546517,Eu
SB5880,SRX180530,SRR546498,Eu
RSB120,SRX180529,SRR546549,Eu
RSB079,SRX180528,SRR546548,Eu
RSB073,SRX180527,SRR546547,Eu
RSB068,SRX180526,SRR546542,Eu
RSB066,SRX180525,SRR546541,Eu
RSB060,SRX180524,SRR546540,Eu
RSB040,SRX180523,SRR546539,Eu
RSB038,SRX180522,SRR546538,Eu
RSB031,SRX180521,SRR546537,Eu
RSB013,SRX180518,SRR546534,Eu
RSA640,SRX180517,SRR546533,Eu
RSA639,SRX180516,SRR546532,Eu
RSA625,SRX180515,SRR546531,Eu
RSA624,SRX180514,SRR546530,Eu
RSA117,SRX180513,SRR546529,Eu
RSA113,SRX180512,SRR546528,Eu
RSA106,SRX180511,SRR546527,Eu
RSA102,SRX180510,SRR546526,Eu
RSA096,SRX180509,SRR546499,Eu
RSA093,SRX180508,SRR546525,Eu
RSA086,SRX180507,SRR546524,Eu
RSA077,SRX180506,SRR546523,Eu
RSA071,SRX180505,SRR546522,Eu
RSA069,SRX180504,SRR546521,Eu
RSA056,SRX180503,SRR546520,Eu
RSA048,SRX180502,SRR546519,Eu
RSA045,SRX180501,SRR546518,Eu
RSA004,SRX180499,SRR546516,Eu
RS5428,SRX180498,SRR546515,Eu
RS5413,SRX180497,SRR546494,Eu
RS5411,SRX180496,SRR546493,Eu
RS5402,SRX180495,SRR546491,Eu
RS5400,SRX180494,SRR546490,Eu
RS5380,SRX180493,SRR546489,Eu
RS5278,SRX180491,SRR546486,Eu
RS5271,SRX180490,SRR546485,Eu
RS5265,SRX180489,SRR546484,Eu
RS5264,SRX180488,SRR546483,Eu
RS5217,SRX180487,SRR546482,Eu
RS5212,SRX180420,SRR546481,Eu
RS5160,SRX180419,SRR546480,Eu
CostaRica7,SRX180418,SRR546479,Eu
CostaRica3,SRX180417,SRR546477,Eu
RS5484,SRX180416,SRR546514,Eu
RS5430,SRX180415,SRR546513,Eu
RS5415,SRX180414,SRR546512,Eu
RS5398,SRX180413,SRR546511,Eu
RS5397,SRX180412,SRR546510,Eu
RS5378,SRX180411,SRR546509,Eu
RS5337,SRX180410,SRR546508,Eu
RS5221,SRX180409,SRR546507,Eu
RS5215,SRX180408,SRR546506,Eu
RS5210,SRX180407,SRR546505,Eu
RS5208,SRX180406,SRR546504,Eu
RS5197,SRX180405,SRR546503,Eu
RS5429,SRX180404,SRR546502,Eu
RS5419,SRX180403,SRR546501,Eu
RS5418,SRX180402,SRR546500,Eu
RS5409,SRX180400,SRR546395,Eu
RS5408,SRX180399,SRR546276,Eu
RS5385,SRX180398,SRR546274,Eu
RS5351,SRX180397,SRR546272,Eu
RS5350,SRX180396,SRR546271,Eu
RS5336,SRX180395,SRR546268,Eu
RS5347,SRX180394,SRR546269,Eu
RS5334,SRX180393,SRR546267,Eu
RS5427,SRX180377,SRR546261,Eu
RS5405,SRX180376,SRR546251,Eu
RS5296,SRX180375,SRR546250,Eu
RS5295,SRX180374,SRR546249,Eu
RS5279,SRX180373,SRR546248,Eu
RS5270,SRX180372,SRR546247,Eu
RS5205,SRX180371,SRR546246,Eu
RS5202,SRX180370,SRR546245,Eu
RS5171,SRX180368,SRR546243,Eu
RSA076,SRX180367,SRR546242,Eu
JU150,SRX180366,SRR546241,Eu
RS5302,SRX179626,SRR546100,Eu
RS5297,SRX179625,SRR546099,Eu
RS5282,SRX179624,SRR546101,Eu
RS5266,SRX179623,SRR546098,Eu
RS5195,SRX179622,SRR546097,Eu
RS5194,SRX179621,SRR546096,Eu
RS5134,SRX179619,SRR546094,Eu
RS106,SRX179540,SRR546093,Eu
PS1843,SRX179533,SRR546092,Eu
JU482,SRX179532,SRR546090,Eu
JU138,SRX179530,SRR546091,Eu
RS5361,SRX179390,SRR545202,Eu
RSA079,SRX179389,SRR545201,Eu
RS5399,SRX179388,SRR545200,Eu
RS5416,SRX179387,SRR545199,Eu
RS5340,SRX179386,SRR545198,Eu
RS5275,SRX177665,SRR545197,Eu
JU723,SRX177664,SRR543703,Eu
